"BundledFile","SHA256","OriginalName","RepresentativeSource","SourceCopies","AllSourcePaths"
"76DAE65A9979--skill_loader.py","76DAE65A9979E3326734FBD4B91237F106FBBE0F5170079CFD7CD2173A2C3DB7","skill_loader.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\core\skill_loader.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\core\skill_loader.py"
"5104393AA620--skill_registry.py","5104393AA62030E4C8F0F0A71D2A0EA82370E1C52AC99DC06516C0DECA08DC71","skill_registry.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\core\skill_registry.py","5","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\core\skill_registry.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\core\skill_registry.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\core\skill_registry.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\core\skill_registry.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\core\skill_registry.py"
"57282CF19C69--agent_orchestrator.py","57282CF19C6994D7D2F531B43842C22E5F41D799BF3EAEC4CF9804AEFE77D3D2","agent_orchestrator.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\agent_orchestrator.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\agent_orchestrator.py"
"3F9C364811AE--agent_task.py","3F9C364811AE9E86848520BFC25EC30AE0CE4BED2D0C6E3C1D45B37096B09C49","agent_task.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\agent_task.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\agent_task.py"
"5CA550C04001--claw_engine.py","5CA550C040016C4A9D5B73653E6A7A42B6DCF44FADB0CA22BDA20C933A3C24CE","claw_engine.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\claw_engine.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\claw_engine.py"
"B90BBA241E21--claw_tools.py","B90BBA241E210C1C1D00F4FBB8F9C2D83DC7E73EE996751EEDCE556B155FCD77","claw_tools.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\claw_tools.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\claw_tools.py"
"7058D35A4053--permission.py","7058D35A40534F796097D2BD5046A7B62E4C5A503F19E263FDFC459AD31E24A7","permission.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\permission.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\permission.py"
"362F7928408A--task_planner.py","362F7928408ABA8BC92848C0BCBB52B7A7FD71B614F4450ADFA81CE2D7DF8A1C","task_planner.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\task_planner.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\task_planner.py"
"DC385F7088BE--workspace_fs.py","DC385F7088BE7F2D80B53983F22D0BB695C79F6CB2E9A2A6E9AA816B10BA5A4D","workspace_fs.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\workspace_fs.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer5\workspace_fs.py"
"74F1D0115A88--apex_orchestrator.py","74F1D0115A881E2A2FC116B87D513E06BA9E017B6F602CE2BD8810D62EDD9B72","apex_orchestrator.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer6\apex_orchestrator.py","5","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer6\apex_orchestrator.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2\layer6\apex_orchestrator.py | D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v2 (3)\nova-v2\layer6\apex_orchestrator.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\nova-v2_root\layer6\apex_orchestrator.py | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_nova-v2\layer6\apex_orchestrator.py"
"DCEF5141FE42--react_brain.py","DCEF5141FE42CC11EF5684315780E8638026FBB57E8F40D79A3B6403CBB5D5C7","react_brain.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer6\react_brain.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-predator-v2\nova-v2\layer6\react_brain.py"
