"Name","Occurrences","UniqueHashes"
"skill_loader.py","6","3"
"skill_mesh.py","6","3"
"skill_registry.py","6","2"
"workspace_fs.py","5","2"
"task_planner.py","5","2"
"apex_orchestrator.py","5","1"
"apex.py","5","2"
"apex_types.py","5","1"
"permission.py","5","2"
"agent_orchestrator.py","5","2"
"react_brain.py","5","2"
"agent_task.py","5","2"
"claw_tools.py","5","2"
"claw_engine.py","5","2"
"news_research_prompt.md","4","1"
"DEFEKTE.md","4","4"
"deep_research_prompt.md","4","1"
"coding_prompt.md","4","1"
"skill_loader.cpp","2","1"
"skill_loader.h","2","1"
"skill_registry.cpp","2","1"
"apex_task.cpp","2","2"
"apex_subagent_pool.cpp","2","1"
"apex_subagent_pool.h","2","1"
"verify.cpp","2","2"
"json.cpp","2","1"
"apex_task.h","2","2"
"fenster.cpp","2","2"
"fenster.h","2","2"
"verify.h","2","2"
"CMakeLists.txt","2","2"
"testbed14_apex_react.cpp","2","1"
"workspace_guard.cpp","2","1"
"skill_registry.h","2","1"
"testbed13_apex_oneshot.cpp","2","1"
"workspace_guard.h","2","1"
"apex_batch.cu","2","1"
"permissions_storage_test.cpp","2","1"
"apex_batch_host.cpp","2","1"
"apex_batch.h","2","1"
"permissions.hpp","2","1"
"json.h","2","1"
"stage6_permissions_storage.cpp","2","1"
"permission_controller.hpp","2","1"
"apex_react_loop.h","2","2"
"apex_react_loop.cpp","2","2"
"apex_result.h","2","1"
"apex_result.cpp","2","1"
"apex_dag_dispatcher.h","2","1"
"apex_dag_dispatcher.cpp","2","1"
"apex_orchestrator.cpp","2","1"
"apex_orchestrator.h","2","1"
"textpuffer.cpp","1","1"
"textlayout.h","1","1"
"dokument.h","1","1"
"textpuffer.h","1","1"
"maler_d3d11.cpp","1","1"
"hauptprogramm.cpp","1","1"
"utf.cpp","1","1"
"dokument.cpp","1","1"
"gui_test.cpp","1","1"
"settings_schema.h","1","1"
"windows.h","1","1"
"monosatz.cpp","1","1"
"pruefstand.h","1","1"
"pruefstand.cpp","1","1"
"monosatz.h","1","1"
"imm.h","1","1"
"unknwn.h","1","1"
"dxgi.h","1","1"
"dxgi1_2.h","1","1"
"shobjidl.h","1","1"
"shlobj.h","1","1"
"objbase.h","1","1"
"shellapi.h","1","1"
"plat.h","1","1"
"satz_dwrite.cpp","1","1"
"maler_d3d11.h","1","1"
"plat.cpp","1","1"
"d3dcompiler.h","1","1"
"dwrite.h","1","1"
"satz_dwrite.h","1","1"
"d3d11.h","1","1"
"sammlung.h","1","1"
"szene.cpp","1","1"
"menue.h","1","1"
"sammlung.cpp","1","1"
"textfeld.h","1","1"
"animation.h","1","1"
"szene.h","1","1"
"textfeld.cpp","1","1"
"menue.cpp","1","1"
"anzeige.cpp","1","1"
"anzeige.h","1","1"
"verfasser.cpp","1","1"
"verfasser.h","1","1"
"dialog.cpp","1","1"
"dialog.h","1","1"
"bedienen.cpp","1","1"
"bedienen.h","1","1"
"graph_layout.h","1","1"
"markdown.cpp","1","1"
"widget.h","1","1"
"graph_layout.cpp","1","1"
"phrase_filter.h","1","1"
"settings_schema.cpp","1","1"
"markdown.h","1","1"
"phrase_filter.cpp","1","1"
"widget.cpp","1","1"
"geometrie.h","1","1"
"layout.cpp","1","1"
"ereignis.cpp","1","1"
"ereignis.h","1","1"
"signal.h","1","1"
"stil.h","1","1"
"layout.h","1","1"
"maler.h","1","1"
"executor.cpp","1","1"
"executor.h","1","1"
"datei_tools.cpp","1","1"
"datei_tools.h","1","1"
"guard.cpp","1","1"
"guard.h","1","1"
"exec_tools.cpp","1","1"
"exec_tools.h","1","1"
"confirm.h","1","1"
"substanz.cpp","1","1"
"substanz.h","1","1"
"memory_tools.cpp","1","1"
"memory_tools.h","1","1"
"system_head.h","1","1"
"confirm.cpp","1","1"
"substanz_test.cpp","1","1"
"system_head.cpp","1","1"
"anti_laziness_scorer.cpp","1","1"
"anti_laziness_scorer.h","1","1"
"permissions.h","1","1"
"permissions.cpp","1","1"
"marcos_mdp.cpp","1","1"
"marcos_mdp.h","1","1"
"eagler.cpp","1","1"
"eagler.h","1","1"
"checking-member-permissions.md","1","1"
"platform.cpp","1","1"
"platform.h","1","1"
"info_tools.cpp","1","1"
"info_tools.h","1","1"
"skills_test.cpp","1","1"
"nova_model_prepare.cpp","1","1"
"registry.cpp","1","1"
"registry.h","1","1"
"nova_hip_compat.h","1","1"
"prefill_batched.cpp","1","1"
"mock_engine.cpp","1","1"
"mock_engine.h","1","1"
"token_trie.h","1","1"
"weights.cpp","1","1"
"prefill_batched.h","1","1"
"token_trie.cpp","1","1"
"inference.h","1","1"
"attn_prefill.h","1","1"
"attn_prefill.hip","1","1"
"attn_decode.h","1","1"
"attn_decode.hip","1","1"
"hip_engine.cpp","1","1"
"hip_engine.h","1","1"
"gemm_int3.h","1","1"
"gemm_int3.hip","1","1"
"episode_store.cpp","1","1"
"episode_store.h","1","1"
"dreaming.cpp","1","1"
"dreaming.h","1","1"
"identity_store.cpp","1","1"
"identity_store.h","1","1"
"facts_store.cpp","1","1"
